,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Price
45,97,989,0,3,"Makinen, Mr. Kalle Edvard",male,29.0,0,0,STON/O 2. 3101268,7.925,,S,63
46,99,991,0,3,"Nancarrow, Mr. William Henry",male,33.0,0,0,A./5. 3338,8.05,,S,34
47,100,992,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43.0,1,0,11778,55.4417,C116,C,70
48,101,993,0,2,"Weisz, Mr. Leopold",male,27.0,1,0,228414,26.0,,S,86
49,103,995,0,3,"Johansson Palmquist, Mr. Oskar Leander",male,26.0,0,0,347070,7.775,,S,39
50,105,997,0,3,"Holthen, Mr. Johan Martin",male,28.0,0,0,C 4001,22.525,,S,60
51,110,1002,0,2,"Stanton, Mr. Samuel Ward",male,41.0,0,0,237734,15.0458,,C,9
52,112,1004,1,1,"Evans, Miss. Edith Corse",female,36.0,0,0,PC 17531,31.6792,A29,C,57
53,114,1006,1,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63.0,1,0,PC 17483,221.7792,C55 C57,S,60
54,118,1010,0,1,"Beattie, Mr. Thomson",male,36.0,0,0,13050,75.2417,C6,C,35
55,119,1011,1,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,1,0,SC/AH 29037,26.0,,S,67
56,122,1014,1,1,"Schabert, Mrs. Paul (Emma Mock)",female,35.0,1,0,13236,57.75,C28,C,28
57,123,1015,0,3,"Carver, Mr. Alfred John",male,28.0,0,0,392095,7.25,,S,74
58,128,1020,0,2,"Bowenur, Mr. Solomon",male,42.0,0,0,211535,13.0,,S,11
59,130,1022,0,3,"Spinner, Mr. Henry John",male,32.0,0,0,STON/OQ. 369943,8.05,,S,49
60,131,1023,0,1,"Gracie, Col. Archibald IV",male,53.0,0,0,113780,28.5,C51,C,97
61,134,1026,0,3,"Dintcheff, Mr. Valtcho",male,43.0,0,0,349226,7.8958,,S,98
62,136,1028,0,3,"Zakarian, Mr. Mapriededer",male,26.5,0,0,2656,7.225,,C,83
63,137,1029,0,2,"Schmidt, Mr. August",male,26.0,0,0,248659,13.0,,S,27
64,139,1031,0,3,"Goodwin, Mr. Charles Frederick",male,40.0,1,6,CA 2144,46.9,,S,71
65,141,1033,1,1,"Daniels, Miss. Sarah",female,33.0,0,0,113781,151.55,,S,55
66,142,1034,0,1,"Ryerson, Mr. Arthur Larned",male,61.0,1,3,PC 17608,262.375,B57 B59 B63 B66,C,65
67,143,1035,0,2,"Beauchamp, Mr. Henry James",male,28.0,0,0,244358,26.0,,S,51
68,144,1036,0,1,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",male,42.0,0,0,17475,26.55,,S,43
69,145,1037,0,3,"Vander Planke, Mr. Julius",male,31.0,3,0,345763,18.0,,S,17
70,149,1041,0,2,"Lahtinen, Rev. William",male,30.0,1,1,250651,26.0,,S,71
71,152,1044,0,3,"Storey, Mr. Thomas",male,60.5,0,0,3701,,,S,72
72,153,1045,1,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36.0,0,2,350405,12.1833,,S,83
73,156,1048,1,1,"Bird, Miss. Ellen",female,29.0,0,0,PC 17483,221.7792,C97,S,56
74,158,1050,0,1,"Borebank, Mr. John James",male,42.0,0,0,110489,26.55,D22,S,62
75,159,1051,1,3,"Peacock, Mrs. Benjamin (Edith Nile)",female,26.0,0,2,SOTON/O.Q. 3101315,13.775,,S,12
76,162,1054,1,2,"Wright, Miss. Marion",female,26.0,0,0,220844,13.5,,S,4
77,164,1056,0,2,"Peruschitz, Rev. Joseph Maria",male,41.0,0,0,237393,13.0,,S,43
78,165,1057,1,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26.0,1,1,315153,22.025,,S,27
79,166,1058,0,1,"Brandeis, Mr. Emil",male,48.0,0,0,PC 17591,50.4958,B10,C,99
80,171,1063,0,3,"Zakarian, Mr. Ortin",male,27.0,0,0,2670,7.225,,C,76
81,174,1066,0,3,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,1,5,347077,31.3875,,S,7
82,177,1069,0,1,"Stengel, Mr. Charles Emil Henry",male,54.0,1,0,11778,55.4417,C116,C,17
83,178,1070,1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,0,3,230136,39.0,F4,S,24
84,179,1071,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,0,2,PC 17756,83.1583,E45,C,82
85,180,1072,0,2,"McCrie, Mr. James Matthew",male,30.0,0,0,233478,13.0,,S,72
86,181,1073,0,1,"Compton, Mr. Alexander Taylor Jr",male,37.0,1,1,PC 17756,83.1583,E52,C,27
87,184,1076,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,1,1,PC 17558,247.5208,B58 B60,C,21
88,185,1077,0,2,"Maybery, Mr. Frank Hubert",male,40.0,0,0,239059,16.0,,S,34
89,189,1081,0,2,"Veal, Mr. James",male,40.0,0,0,28221,13.0,,S,54
90,190,1082,0,2,"Angle, Mr. William A",male,34.0,1,0,226875,26.0,,S,68
91,193,1085,0,2,"Lingane, Mr. John",male,61.0,0,0,235509,12.35,,Q,90
92,195,1087,0,3,"Karlsson, Mr. Julius Konrad Eugen",male,33.0,0,0,347465,7.8542,,S,82
93,202,1094,0,1,"Astor, Col. John Jacob",male,47.0,1,0,PC 17757,227.525,C62 C64,C,50
94,206,1098,1,3,"McGowan, Miss. Katherine",female,35.0,0,0,9232,7.75,,Q,99
95,208,1100,1,1,"Rosenbaum, Miss. Edith Louise",female,33.0,0,0,PC 17613,27.7208,A11,C,31
96,210,1102,0,3,"Andersen, Mr. Albert Karvin",male,32.0,0,0,C 4001,22.525,,S,37
97,213,1105,1,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",female,60.0,1,0,24065,26.0,,S,2
98,214,1106,1,3,"Andersson, Miss. Ida Augusta Margareta",female,38.0,4,2,347091,7.775,,S,44
99,215,1107,0,1,"Head, Mr. Christopher",male,42.0,0,0,113038,42.5,B11,S,38
100,217,1109,0,1,"Wick, Mr. George Dennick",male,57.0,1,1,36928,164.8667,,S,77
101,218,1110,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,1,1,113503,211.5,C80,C,86
102,220,1112,1,2,"Duran y More, Miss. Florentina",female,30.0,1,0,SC/PARIS 2148,13.8583,,C,97
103,224,1116,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,0,0,PC 17606,27.4458,,C,7
104,228,1120,0,3,"Everett, Mr. Thomas James",male,40.5,0,0,C.A. 6212,15.1,,S,75
105,229,1121,0,2,"Hocking, Mr. Samuel James Metcalfe",male,36.0,0,0,242963,13.0,,S,87
106,234,1126,0,1,"Cumings, Mr. John Bradley",male,39.0,1,0,PC 17599,71.2833,C85,C,44
107,236,1128,0,1,"Warren, Mr. Frank Manley",male,64.0,1,0,110813,75.25,D37,C,95
108,239,1131,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,1,0,PC 17761,106.425,C86,C,62
109,240,1132,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,0,0,112377,27.7208,,C,20
110,241,1133,1,2,"Christy, Mrs. (Alice Frances)",female,45.0,0,2,237789,30.0,,S,78
111,242,1134,0,1,"Spedden, Mr. Frederic Oakley",male,45.0,1,1,16966,134.5,E34,C,44
112,245,1137,0,1,"Kenyon, Mr. Frederick R",male,41.0,1,0,17464,51.8625,D21,S,91
113,247,1139,0,2,"Drew, Mr. James Vivian",male,42.0,1,1,28220,32.5,,S,43
114,248,1140,1,2,"Hold, Mrs. Stephen (Annie Margaret Hill)",female,29.0,1,0,26707,26.0,,S,22
115,252,1144,0,1,"Clark, Mr. Walter Miller",male,27.0,1,0,13508,136.7792,C89,C,63
116,254,1146,0,3,"Wenzel, Mr. Linhart",male,32.5,0,0,345775,9.5,,S,70
117,257,1149,0,3,"Niklasson, Mr. Samuel",male,28.0,0,0,363611,8.05,,S,15
118,260,1152,0,3,"de Messemaeker, Mr. Guillaume Joseph",male,36.5,1,0,345572,17.4,,S,98
119,262,1154,1,2,"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""",female,29.0,0,2,29103,23.0,,S,91
120,264,1156,0,2,"Portaluppi, Mr. Emilio Ilario Giuseppe",male,30.0,0,0,C.A. 34644,12.7375,,C,8
121,270,1162,0,1,"McCaffry, Mr. Thomas Francis",male,46.0,0,0,13050,75.2417,C6,C,51
122,272,1164,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,1,0,13508,136.7792,C89,C,44
123,276,1168,0,2,"Parker, Mr. Clifford Richard",male,28.0,0,0,SC 14888,10.5,,S,69
124,277,1169,0,2,"Faunthorpe, Mr. Harry",male,40.0,1,0,2926,26.0,,S,35
125,278,1170,0,2,"Ware, Mr. John James",male,30.0,1,0,CA 31352,21.0,,S,29
126,285,1177,0,3,"Dennis, Mr. William",male,36.0,0,0,A/5 21175,7.25,,S,39
127,291,1183,1,3,"Daly, Miss. Margaret Marcella Maggie""""",female,30.0,0,0,382650,6.95,,Q,32
128,293,1185,0,1,"Dodge, Dr. Washington",male,53.0,1,1,33638,81.8583,A34,S,48
129,294,1186,0,3,"Wittevrongel, Mr. Camille",male,36.0,0,0,345771,9.5,,S,65
130,295,1187,0,3,"Angheloff, Mr. Minko",male,26.0,0,0,349202,7.8958,,S,35
131,298,1190,0,1,"Loring, Mr. Joseph Holland",male,30.0,0,0,113801,45.5,,S,45
132,299,1191,0,3,"Johansson, Mr. Nils",male,29.0,0,0,347467,7.8542,,S,7
133,300,1192,0,3,"Olsson, Mr. Oscar Wilhelm",male,32.0,0,0,347079,7.775,,S,26
134,302,1194,0,2,"Phillips, Mr. Escott Robert",male,43.0,0,1,S.O./P.P. 2,21.0,,S,33
135,305,1197,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,1,1,112901,26.55,B26,S,67
136,306,1198,0,1,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,C22 C26,S,6
137,308,1200,0,1,"Hays, Mr. Charles Melville",male,55.0,1,1,12749,93.5,B69,S,1
138,309,1201,1,3,"Hansen, Mrs. Claus Peter (Jennie L Howard)",female,45.0,1,0,350026,14.1083,,S,44
139,313,1205,1,3,"Carr, Miss. Jeannie",female,37.0,0,0,368364,7.75,,Q,22
140,314,1206,1,1,"White, Mrs. John Stuart (Ella Holmes)",female,55.0,0,0,PC 17760,135.6333,C32,C,27
141,316,1208,0,1,"Spencer, Mr. William Augustus",male,57.0,1,0,PC 17569,146.5208,B78,C,72
142,318,1210,0,3,"Jonsson, Mr. Nils Hilding",male,27.0,0,0,350408,7.8542,,S,3
143,320,1212,0,3,"Andersson, Mr. Johan Samuel",male,26.0,0,0,347075,7.775,,S,23
144,322,1214,0,2,"Nesson, Mr. Israel",male,26.0,0,0,244368,13.0,F2,S,61
145,323,1215,0,1,"Rowe, Mr. Alfred G",male,33.0,0,0,113790,26.55,,S,75
146,324,1216,1,1,"Kreuchen, Miss. Emilie",female,39.0,0,0,24160,211.3375,,S,90
147,327,1219,0,1,"Rosenshine, Mr. George (Mr George Thorne"")""",male,46.0,0,0,PC 17585,79.2,,C,74
148,328,1220,0,2,"Clarke, Mr. Charles Valentine",male,29.0,1,0,2003,26.0,,S,16
149,330,1222,1,2,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,48.0,0,2,C.A. 33112,36.75,,S,84
150,331,1223,0,1,"Dulles, Mr. William Crothers",male,39.0,0,0,PC 17580,29.7,A18,C,60
151,334,1226,0,3,"Cor, Mr. Ivan",male,27.0,0,0,349229,7.8958,,S,55
152,335,1227,0,1,"Maguire, Mr. John Edward",male,30.0,0,0,110469,26.0,C106,S,63
153,336,1228,0,2,"de Brito, Mr. Jose Joaquim",male,32.0,0,0,244360,13.0,,S,52
154,337,1229,0,3,"Elias, Mr. Joseph",male,39.0,0,2,2675,7.2292,,C,96
155,341,1233,0,3,"Lundstrom, Mr. Thure Edvin",male,32.0,0,0,350403,7.5792,,S,90
156,343,1235,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,0,1,PC 17755,512.3292,B51 B53 B55,C,35
157,346,1238,0,2,"Botsford, Mr. William Hull",male,26.0,0,0,237670,13.0,,S,9
158,347,1239,1,3,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",female,38.0,0,0,2688,7.2292,,C,82
159,349,1241,1,2,"Walcroft, Miss. Nellie",female,31.0,0,0,F.C.C. 13528,21.0,,S,53
160,350,1242,1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,0,1,PC 17759,63.3583,D10 D12,C,72
161,353,1245,0,2,"Herman, Mr. Samuel",male,49.0,1,2,220845,65.0,,S,95
162,355,1247,0,1,"Julian, Mr. Henry Forbes",male,50.0,0,0,113044,26.0,E60,S,23
163,356,1248,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,11769,51.4792,C101,S,11
164,359,1251,1,3,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,30.0,1,0,349910,15.55,,S,95
165,362,1254,1,2,"Ware, Mrs. John James (Florence Louise Long)",female,31.0,0,0,CA 31352,21.0,,S,99
166,363,1255,0,3,"Strilic, Mr. Ivan",male,27.0,0,0,315083,8.6625,,S,56
167,368,1260,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,0,1,112378,59.4,,C,74
168,369,1261,0,2,"Pallas y Castello, Mr. Emilio",male,29.0,0,0,SC/PARIS 2147,13.8583,,C,79
169,371,1263,1,1,"Wilson, Miss. Helen Alice",female,31.0,0,0,16966,134.5,E39 E41,C,62
170,372,1264,0,1,"Ismay, Mr. Joseph Bruce",male,49.0,0,0,112058,0.0,B52 B54 B56,S,77
171,373,1265,0,2,"Harbeck, Mr. William H",male,44.0,0,0,248746,13.0,,S,27
172,374,1266,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,1,1,33638,81.8583,A34,S,9
173,375,1267,1,1,"Bowen, Miss. Grace Scott",female,45.0,0,0,PC 17608,262.375,,C,16
174,378,1270,0,1,"Hipkins, Mr. William Edward",male,55.0,0,0,680,50.0,C39,S,49
175,381,1273,0,3,"Foley, Mr. Joseph",male,26.0,0,0,330910,7.8792,,Q,17
176,387,1279,0,2,"Ashby, Mr. John",male,57.0,0,0,244346,13.0,,S,88
177,391,1283,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,0,1,PC 17592,39.4,D28,S,96
178,393,1285,0,2,"Gilbert, Mr. William",male,47.0,0,0,C.A. 30769,10.5,,S,53
179,394,1286,0,3,"Kink-Heilmann, Mr. Anton",male,29.0,3,1,315153,22.025,,S,8
180,397,1289,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,1,1,13567,79.2,B41,C,99
181,399,1291,0,3,"Conlon, Mr. Thomas Henry",male,31.0,0,0,21332,7.7333,,Q,75
182,400,1292,1,1,"Bonnell, Miss. Caroline",female,30.0,0,0,36928,164.8667,C7,S,52
183,401,1293,0,2,"Gale, Mr. Harry",male,38.0,1,0,28664,21.0,,S,65
184,404,1296,0,1,"Frauenthal, Mr. Isaac Gerald",male,43.0,1,0,17765,27.7208,D40,C,91
185,407,1299,0,1,"Widener, Mr. George Dunton",male,50.0,1,1,113503,211.5,C80,C,76
186,411,1303,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1,0,19928,90.0,C78,Q,72
187,412,1304,1,3,"Henriksson, Miss. Jenny Lovisa",female,28.0,0,0,347086,7.775,,S,94
188,414,1306,1,1,"Oliva y Ocana, Dona. Fermina",female,39.0,0,0,PC 17758,108.9,C105,C,55
189,415,1307,0,3,"Saether, Mr. Simon Sivertsen",male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,55
